Metric	Value
GSM	GSM2627862
SRA_Run	SRR5560666
FASTQ_MD5	216f49b94aa512e162b8877c3cbf12c2
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	179ac198dee5dd30a39905ff64be2fba12bf4978058444016495d52846b09723
Processed_fragments	27006397
Mapped_fragments	22800684
Percent_mapped	84.42697483859102
Decoy_fragments	3253280
Equivalence_classes	63332
Transcript_targets	56910
Nonzero_TPM_transcripts	31663
TPM_sum	1000000.000041
Estimated_transcript_counts_sum	22800683.991
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
